,rank,title,rate
0,1,소년시절의 너,9.39
1,2,브레이크 더 사일런스: 더 무비,9.35
2,3,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.31
3,4,언더독,9.30
4,5,스파이더맨: 뉴 유니버스,9.20
5,6,톰보이,9.20
6,7,스타 이즈 본,9.18
7,8,제리 맥과이어,9.16
8,9,공범자들,9.10
9,10,타오르는 여인의 초상,9.06
10,11,박하사탕,9.03
11,12,서칭 포 슈가맨,9.03
12,13,미스터트롯: 더 무비,9.03
13,14,남매의 여름밤,9.02
14,15,윤희에게,8.98
15,16,아웃포스트,8.95
16,17,비투스,8.94
17,18,담보,8.85
18,19,너의 이름은.,8.78
19,20,벌새,8.76
20,21,본 투 비 블루,8.73
21,22,마미,8.69
22,23,찬실이는 복도 많지,8.68
23,24,삼진그룹 영어토익반,8.65
24,25,69세,8.63
25,26,라라랜드,8.61
26,27,기생충,8.49
27,28,아무르,8.48
28,29,로렌스 애니웨이 ,8.45
29,30,3:10 투 유마,8.42
30,31,검객,8.37
31,32,주디,8.35
32,33,리스본행 야간열차,8.31
33,34,테넷,8.27
34,35,경계선,8.17
35,36,프란시스 하,8.14
36,37,신문기자,8.10
37,38,위크엔드 인 파리,8.06
38,39,블레이드 러너 2049,7.99
39,40,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,7.98
40,41,환상의 빛,7.98
41,42,날씨의 아이,7.97
42,43,라붐,7.93
43,44,21 브릿지: 테러 셧다운,7.92
44,45,다만 악에서 구하소서,7.64
45,46,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,7.10
46,47,그린랜드,7.05
47,48,기기괴괴 성형수,6.85
48,49,언힌지드,6.67
49,50,디바,6.40
50,1,포드 V 페라리,9.49
51,2,소년시절의 너,9.40
52,3,브레이크 더 사일런스: 더 무비,9.35
53,4,다시 태어나도 우리,9.34
54,5,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.33
55,6,"미안해요, 리키",9.33
56,7,언더독,9.30
57,8,공동경비구역 JSA,9.27
58,9,우리들,9.26
59,10,피아니스트의 전설,9.25
60,11,스파이더맨: 뉴 유니버스,9.20
61,12,톰보이,9.20
62,13,스타 이즈 본,9.18
63,14,조조 래빗,9.16
64,15,제리 맥과이어,9.16
65,16,나이브스 아웃,9.11
66,17,타오르는 여인의 초상,9.06
67,18,올드보이,9.05
68,19,박하사탕,9.03
69,20,서칭 포 슈가맨,9.03
70,21,인생 후르츠,9.02
71,22,남매의 여름밤,9.02
72,23,미스터트롯: 더 무비,9.01
73,24,윤희에게,8.98
74,25,아웃포스트,8.95
75,26,비투스,8.94
76,27,바르다가 사랑한 얼굴들,8.89
77,28,담보,8.85
78,29,작은 아씨들,8.84
79,30,미드웨이,8.80
80,31,너의 이름은.,8.78
81,32,본 투 비 블루,8.73
82,33,마미,8.69
83,34,찬실이는 복도 많지,8.68
84,35,69세,8.63
85,36,삼진그룹 영어토익반,8.62
86,37,라라랜드,8.61
87,38,잠수종과 나비,8.59
88,39,기생충,8.49
89,40,아무르,8.48
90,41,로렌스 애니웨이 ,8.45
91,42,카페 벨에포크,8.42
92,43,3:10 투 유마,8.42
93,44,복수는 나의 것,8.37
94,45,검객,8.37
95,46,주디,8.35
96,47,리스본행 야간열차,8.31
97,48,테넷,8.27
98,49,경계선,8.17
99,50,야구소녀,8.17
100,1,포드 V 페라리,9.49
101,2,소년시절의 너,9.40
102,3,브레이크 더 사일런스: 더 무비,9.36
103,4,다시 태어나도 우리,9.34
104,5,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.34
105,6,"미안해요, 리키",9.33
106,7,패왕별희 디 오리지널,9.32
107,8,언더독,9.30
108,9,공동경비구역 JSA,9.27
109,10,우리들,9.26
110,11,피아니스트의 전설,9.25
111,12,스파이더맨: 뉴 유니버스,9.20
112,13,톰보이,9.20
113,14,스타 이즈 본,9.18
114,15,조조 래빗,9.16
115,16,제리 맥과이어,9.16
116,17,나이브스 아웃,9.11
117,18,타오르는 여인의 초상,9.06
118,19,올드보이,9.05
119,20,박하사탕,9.03
120,21,서칭 포 슈가맨,9.03
121,22,인생 후르츠,9.02
122,23,남매의 여름밤,9.02
123,24,온워드: 단 하루의 기적,9.00
124,25,미스터트롯: 더 무비,8.99
125,26,윤희에게,8.98
126,27,아웃포스트,8.95
127,28,비투스,8.94
128,29,담보,8.85
129,30,작은 아씨들,8.84
130,31,아멜리에,8.82
131,32,미드웨이,8.80
132,33,너의 이름은.,8.78
133,34,본 투 비 블루,8.73
134,35,마미,8.69
135,36,찬실이는 복도 많지,8.68
136,37,69세,8.63
137,38,삼진그룹 영어토익반,8.61
138,39,라라랜드,8.61
139,40,잠수종과 나비,8.59
140,41,기생충,8.49
141,42,로렌스 애니웨이 ,8.45
142,43,카페 벨에포크,8.42
143,44,3:10 투 유마,8.42
144,45,복수는 나의 것,8.37
145,46,검객,8.37
146,47,주디,8.35
147,48,리스본행 야간열차,8.31
148,49,테넷,8.27
149,50,경계선,8.17
150,1,포드 V 페라리,9.49
151,2,소년시절의 너,9.40
152,3,브레이크 더 사일런스: 더 무비,9.36
153,4,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.34
154,5,다시 태어나도 우리,9.34
155,6,"미안해요, 리키",9.33
156,7,패왕별희 디 오리지널,9.32
157,8,언더독,9.30
158,9,공동경비구역 JSA,9.27
159,10,우리들,9.26
160,11,피아니스트의 전설,9.25
161,12,톰보이,9.20
162,13,스타 이즈 본,9.18
163,14,조조 래빗,9.16
164,15,제리 맥과이어,9.16
165,16,나이브스 아웃,9.11
166,17,싸이코,9.10
167,18,타오르는 여인의 초상,9.06
168,19,올드보이,9.05
169,20,박하사탕,9.03
170,21,서칭 포 슈가맨,9.03
171,22,인생 후르츠,9.02
172,23,온워드: 단 하루의 기적,9.00
173,24,남매의 여름밤,9.00
174,25,윤희에게,8.98
175,26,미스터트롯: 더 무비,8.98
176,27,아웃포스트,8.96
177,28,비투스,8.94
178,29,담보,8.85
179,30,작은 아씨들,8.84
180,31,아멜리에,8.82
181,32,미드웨이,8.80
182,33,위플래쉬,8.79
183,34,너의 이름은.,8.78
184,35,본 투 비 블루,8.73
185,36,마미,8.69
186,37,찬실이는 복도 많지,8.68
187,38,69세,8.63
188,39,삼진그룹 영어토익반,8.62
189,40,라라랜드,8.61
190,41,잠수종과 나비,8.59
191,42,기생충,8.49
192,43,로렌스 애니웨이 ,8.45
193,44,카페 벨에포크,8.42
194,45,셔터 아일랜드,8.37
195,46,복수는 나의 것,8.37
196,47,검객,8.37
197,48,주디,8.35
198,49,리스본행 야간열차,8.31
199,50,테넷,8.27
200,1,포드 V 페라리,9.49
201,2,소년시절의 너,9.40
202,3,브레이크 더 사일런스: 더 무비,9.36
203,4,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.35
204,5,"미안해요, 리키",9.33
205,6,패왕별희 디 오리지널,9.32
206,7,언더독,9.31
207,8,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.30
208,9,공동경비구역 JSA,9.27
209,10,피아니스트의 전설,9.25
210,11,톰보이,9.20
211,12,스타 이즈 본,9.18
212,13,조조 래빗,9.16
213,14,제리 맥과이어,9.16
214,15,나이브스 아웃,9.11
215,16,싸이코,9.10
216,17,타오르는 여인의 초상,9.06
217,18,올드보이,9.05
218,19,박하사탕,9.03
219,20,서칭 포 슈가맨,9.03
220,21,인생 후르츠,9.02
221,22,온워드: 단 하루의 기적,9.00
222,23,남매의 여름밤,8.99
223,24,윤희에게,8.98
224,25,미스터트롯: 더 무비,8.98
225,26,아웃포스트,8.96
226,27,비투스,8.94
227,28,담보,8.85
228,29,작은 아씨들,8.84
229,30,아멜리에,8.82
230,31,미드웨이,8.80
231,32,위플래쉬,8.79
232,33,너의 이름은.,8.78
233,34,본 투 비 블루,8.73
234,35,찬실이는 복도 많지,8.68
235,36,그을린 사랑,8.67
236,37,69세,8.63
237,38,삼진그룹 영어토익반,8.61
238,39,라라랜드,8.61
239,40,잠수종과 나비,8.59
240,41,기생충,8.49
241,42,로렌스 애니웨이 ,8.44
242,43,카페 벨에포크,8.42
243,44,셔터 아일랜드,8.37
244,45,복수는 나의 것,8.37
245,46,레볼루셔너리 로드,8.37
246,47,검객,8.36
247,48,테넷,8.27
248,49,야구소녀,8.17
249,50,프란시스 하,8.14
250,1,부활: 그 증거,9.66
251,2,포드 V 페라리,9.49
252,3,소년시절의 너,9.40
253,4,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.37
254,5,브레이크 더 사일런스: 더 무비,9.36
255,6,"미안해요, 리키",9.33
256,7,패왕별희 디 오리지널,9.32
257,8,언더독,9.31
258,9,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.28
259,10,공동경비구역 JSA,9.27
260,11,피아니스트의 전설,9.25
261,12,톰보이,9.20
262,13,스타 이즈 본,9.18
263,14,조조 래빗,9.16
264,15,제리 맥과이어,9.16
265,16,나이브스 아웃,9.11
266,17,싸이코,9.10
267,18,타오르는 여인의 초상,9.06
268,19,올드보이,9.05
269,20,타샤 튜더,9.04
270,21,박하사탕,9.03
271,22,남매의 여름밤,8.99
272,23,윤희에게,8.98
273,24,미스터트롯: 더 무비,8.95
274,25,아웃포스트,8.94
275,26,비투스,8.94
276,27,담보,8.86
277,28,작은 아씨들,8.84
278,29,아멜리에,8.82
279,30,미드웨이,8.80
280,31,천문: 하늘에 묻는다,8.80
281,32,위플래쉬,8.79
282,33,너의 이름은.,8.78
283,34,본 투 비 블루,8.73
284,35,찬실이는 복도 많지,8.68
285,36,그을린 사랑,8.67
286,37,69세,8.63
287,38,라라랜드,8.61
288,39,잠수종과 나비,8.59
289,40,삼진그룹 영어토익반,8.58
290,41,기생충,8.49
291,42,카페 벨에포크,8.42
292,43,셔터 아일랜드,8.37
293,44,복수는 나의 것,8.37
294,45,레볼루셔너리 로드,8.37
295,46,검객,8.36
296,47,테넷,8.27
297,48,야구소녀,8.17
298,49,프란시스 하,8.14
299,50,블레이드 러너 2049,7.99
300,1,부활: 그 증거,9.58
301,2,포드 V 페라리,9.49
302,3,소년시절의 너,9.40
303,4,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.38
304,5,"미안해요, 리키",9.33
305,6,패왕별희 디 오리지널,9.32
306,7,언더독,9.31
307,8,공동경비구역 JSA,9.27
308,9,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.25
309,10,피아니스트의 전설,9.25
310,11,톰보이,9.20
311,12,스타 이즈 본,9.18
312,13,조조 래빗,9.16
313,14,나이브스 아웃,9.11
314,15,싸이코,9.10
315,16,타오르는 여인의 초상,9.06
316,17,올드보이,9.05
317,18,타샤 튜더,9.04
318,19,박하사탕,9.03
319,20,남매의 여름밤,9.00
320,21,아웃포스트,8.94
321,22,비투스,8.94
322,23,미스터트롯: 더 무비,8.93
323,24,담보,8.87
324,25,작은 아씨들,8.84
325,26,아멜리에,8.82
326,27,미드웨이,8.80
327,28,천문: 하늘에 묻는다,8.80
328,29,위플래쉬,8.79
329,30,너의 이름은.,8.78
330,31,본 투 비 블루,8.73
331,32,그을린 사랑,8.67
332,33,69세,8.63
333,34,라라랜드,8.61
334,35,잠수종과 나비,8.59
335,36,삼진그룹 영어토익반,8.57
336,37,기생충,8.49
337,38,카페 벨에포크,8.42
338,39,셔터 아일랜드,8.37
339,40,복수는 나의 것,8.37
340,41,레볼루셔너리 로드,8.37
341,42,검객,8.36
342,43,테넷,8.27
343,44,야구소녀,8.17
344,45,프란시스 하,8.13
345,46,블레이드 러너 2049,7.99
346,47,로미오와 줄리엣,7.98
347,48,날씨의 아이,7.97
348,49,라붐,7.93
349,50,21 브릿지: 테러 셧다운,7.92
350,1,부활: 그 증거,9.59
351,2,포드 V 페라리,9.49
352,3,소년시절의 너,9.40
353,4,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.39
354,5,"미안해요, 리키",9.33
355,6,패왕별희 디 오리지널,9.32
356,7,공동경비구역 JSA,9.27
357,8,피아니스트의 전설,9.25
358,9,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.24
359,10,톰보이,9.20
360,11,스타 이즈 본,9.18
361,12,조조 래빗,9.16
362,13,나이브스 아웃,9.11
363,14,타오르는 여인의 초상,9.06
364,15,올드보이,9.05
365,16,타샤 튜더,9.04
366,17,박하사탕,9.03
367,18,남매의 여름밤,9.00
368,19,미스터트롯: 더 무비,8.92
369,20,아웃포스트,8.92
370,21,담보,8.88
371,22,작은 아씨들,8.84
372,23,아멜리에,8.82
373,24,미드웨이,8.80
374,25,위플래쉬,8.79
375,26,너의 이름은.,8.78
376,27,본 투 비 블루,8.73
377,28,그을린 사랑,8.67
378,29,69세,8.63
379,30,라라랜드,8.61
380,31,잠수종과 나비,8.59
381,32,삼진그룹 영어토익반,8.53
382,33,카페 벨에포크,8.42
383,34,셔터 아일랜드,8.37
384,35,복수는 나의 것,8.37
385,36,레볼루셔너리 로드,8.37
386,37,검객,8.36
387,38,테넷,8.27
388,39,야구소녀,8.17
389,40,프란시스 하,8.13
390,41,블레이드 러너 2049,7.99
391,42,로미오와 줄리엣,7.99
392,43,날씨의 아이,7.97
393,44,21 브릿지: 테러 셧다운,7.92
394,45,레버넌트: 죽음에서 돌아온 자,7.84
395,46,도둑들,7.63
396,47,잉투기,7.53
397,48,친절한 금자씨,7.50
398,49,더 보이,7.42
399,50,원더풀 데이즈,7.26
400,1,부활: 그 증거,9.54
401,2,포드 V 페라리,9.49
402,3,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.40
403,4,소년시절의 너,9.40
404,5,"미안해요, 리키",9.33
405,6,패왕별희 디 오리지널,9.32
406,7,공동경비구역 JSA,9.27
407,8,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26
408,9,피아니스트의 전설,9.25
409,10,톰보이,9.20
410,11,스타 이즈 본,9.18
411,12,조조 래빗,9.16
412,13,나이브스 아웃,9.11
413,14,타오르는 여인의 초상,9.06
414,15,올드보이,9.05
415,16,타샤 튜더,9.04
416,17,박하사탕,9.03
417,18,비긴 어게인,9.03
418,19,싱 스트리트,9.02
419,20,남매의 여름밤,9.01
420,21,아웃포스트,8.93
421,22,나의 특별한 형제,8.92
422,23,미스터트롯: 더 무비,8.92
423,24,담보,8.88
424,25,작은 아씨들,8.84
425,26,아멜리에,8.82
426,27,미드웨이,8.80
427,28,위플래쉬,8.79
428,29,너의 이름은.,8.78
429,30,본 투 비 블루,8.73
430,31,그을린 사랑,8.68
431,32,69세,8.63
432,33,라라랜드,8.61
433,34,잠수종과 나비,8.59
434,35,삼진그룹 영어토익반,8.49
435,36,카페 벨에포크,8.42
436,37,셔터 아일랜드,8.37
437,38,복수는 나의 것,8.37
438,39,레볼루셔너리 로드,8.37
439,40,검객,8.37
440,41,암수살인,8.32
441,42,테넷,8.27
442,43,야구소녀,8.17
443,44,프란시스 하,8.13
444,45,로미오와 줄리엣,7.99
445,46,날씨의 아이,7.97
446,47,봉오동 전투,7.94
447,48,21 브릿지: 테러 셧다운,7.92
448,49,레버넌트: 죽음에서 돌아온 자,7.84
449,50,정직한 후보,7.69
450,1,부활: 그 증거,9.52
451,2,포드 V 페라리,9.49
452,3,소년시절의 너,9.39
453,4,"미안해요, 리키",9.33
454,5,패왕별희 디 오리지널,9.32
455,6,공동경비구역 JSA,9.27
456,7,피아니스트의 전설,9.25
457,8,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.24
458,9,톰보이,9.20
459,10,스타 이즈 본,9.18
460,11,조조 래빗,9.16
461,12,나이브스 아웃,9.11
462,13,타오르는 여인의 초상,9.06
463,14,올드보이,9.05
464,15,타샤 튜더,9.04
465,16,박하사탕,9.03
466,17,비긴 어게인,9.03
467,18,싱 스트리트,9.02
468,19,남매의 여름밤,9.01
469,20,나의 특별한 형제,8.92
470,21,아웃포스트,8.92
471,22,미스터트롯: 더 무비,8.91
472,23,담보,8.88
473,24,1917,8.86
474,25,작은 아씨들,8.84
475,26,아멜리에,8.82
476,27,미드웨이,8.80
477,28,위플래쉬,8.79
478,29,너의 이름은.,8.78
479,30,본 투 비 블루,8.73
480,31,69세,8.63
481,32,라라랜드,8.61
482,33,삼진그룹 영어토익반,8.48
483,34,카페 벨에포크,8.42
484,35,셔터 아일랜드,8.37
485,36,검객,8.37
486,37,복수는 나의 것,8.37
487,38,레볼루셔너리 로드,8.37
488,39,암수살인,8.32
489,40,테넷,8.27
490,41,야구소녀,8.17
491,42,프란시스 하,8.13
492,43,로미오와 줄리엣,7.99
493,44,날씨의 아이,7.97
494,45,봉오동 전투,7.94
495,46,21 브릿지: 테러 셧다운,7.92
496,47,레버넌트: 죽음에서 돌아온 자,7.84
497,48,정직한 후보,7.69
498,49,도둑들,7.63
499,50,잉투기,7.53
500,1,부활: 그 증거,9.52
501,2,포드 V 페라리,9.49
502,3,소년시절의 너,9.39
503,4,"미안해요, 리키",9.33
504,5,패왕별희 디 오리지널,9.32
505,6,공동경비구역 JSA,9.27
506,7,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.25
507,8,피아니스트의 전설,9.25
508,9,톰보이,9.20
509,10,스타 이즈 본,9.18
510,11,조조 래빗,9.16
511,12,나이브스 아웃,9.11
512,13,타오르는 여인의 초상,9.06
513,14,노트북,9.05
514,15,올드보이,9.05
515,16,타샤 튜더,9.04
516,17,박하사탕,9.03
517,18,비긴 어게인,9.03
518,19,싱 스트리트,9.02
519,20,남매의 여름밤,9.01
520,21,나의 특별한 형제,8.92
521,22,미스터트롯: 더 무비,8.91
522,23,아웃포스트,8.90
523,24,담보,8.88
524,25,1917,8.86
525,26,작은 아씨들,8.84
526,27,아멜리에,8.82
527,28,미드웨이,8.80
528,29,위플래쉬,8.79
